"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"Biofil Chemicals & Pharmaceuticals Limited","16273800","7618760","    46.82","8655040","0","     0.00","     0.00","20-Nov-2020 11:30:12","49702","15185790","0.33"
"Birla Cable Limited","30000000","19905743","    66.35","10094257","1250000","     6.28","     4.17","20-Nov-2020 11:30:05","1825638","28722538","6.36"
"Birla Corporation Limited","77005347","48434191","    62.90","28571156","0","     0.00","     0.00","20-Nov-2020 11:30:11","1905421","76688696","2.48"
"Birla Tyres Limited","142590079","75761340","    53.13","66828739","33959679","    44.82","    23.82","20-Nov-2020 11:30:31","43830376","141693117","30.93"
"Bkm Industries Limited","65534050","34652535","    52.88","30881515","12300000","    35.50","    18.77","20-Nov-2020 11:30:30","13352568","65533020","20.38"
"Bliss GVS Pharma Limited","103146672","42907046","    41.60","60239626","140000","     0.33","     0.14","20-Nov-2020 11:30:27","6537886","100933233","6.48"
"Blue Blends (I) Limited","21651213","11509470","    53.16","10141743","11480000","    99.74","    53.02","20-Nov-2020 11:30:10","11654734","19629012","59.38"
"Blue Chip India Limited","55304340","6220270","    11.25","49084070","0","     0.00","     0.00","20-Nov-2020 11:30:13","2169022","54981573","3.94"
"Blue Coast Hotels Limited","12748457","7826495","    61.39","4921962","55442","     0.71","     0.43","20-Nov-2020 11:30:14","66566","12671894","0.53"
"Blue Dart Express Limited","23727934","17795950","    75.00","5931984","0","     0.00","     0.00","20-Nov-2020 11:30:07","329839","23672123","1.39"
"Blue Star Limited","96313888","37332887","    38.76","58981001","0","     0.00","     0.00","20-Nov-2020 11:30:15","670457","94539280","0.71"
"Bodal Chemicals Limited","122330165","71315662","    58.30","51014503","0","     0.00","     0.00","20-Nov-2020 11:30:28","7973832","121716606","6.55"
"Bombay Burmah Trading Corporation Limited","69771900","46002345","    65.93","23769555","0","     0.00","     0.00","20-Nov-2020 11:30:09","898361","62701588","1.43"
"Bombay Dyeing & Mfg Company Limited","206534900","110847393","    53.67","95687507","0","     0.00","     0.00","20-Nov-2020 11:30:10","16146837","204027817","7.91"
"Bombay Rayon Fashions Limited","317476479","112926751","    35.57","204549728","55410095","    49.07","    17.45","20-Nov-2020 11:30:19","58040532","317472175","18.28"
"Bosch Limited","29493640","20805224","    70.54","8688416","0","     0.00","     0.00","20-Nov-2020 11:30:04","121391","29389148","0.41"
"Bpl Limited","48884818","30916792","    63.24","17968026","0","     0.00","     0.00","20-Nov-2020 11:30:10","973178","48363687","2.01"
"Brigade Enterprises Limited","206380317","97683035","    47.33","108697282","0","     0.00","     0.00","20-Nov-2020 11:30:24","1082634","206380124","0.52"
"Brightcom Group Limited","507651499","186627685","    36.76","321023814","59544862","    31.91","    11.73","20-Nov-2020 11:30:30","28919859","506643314","5.71"
"Britannia Industries Limited","240725630","121752892","    50.58","118972738","0","     0.00","     0.00","20-Nov-2020 11:30:08","1682054","237898386","0.71"
"Brooks Laboratories Limited","24702812","16406249","    66.41","8296563","0","     0.00","     0.00","20-Nov-2020 11:30:28","1169949","24700812","4.74"
"Burnpur Cement Limited","86124363","23740973","    27.57","62383390","21799826","    91.82","    25.31","20-Nov-2020 11:30:24","24183064","86106409","28.09"
"Butterfly Gandhimathi Appliances Limited","17879551","11581272","    64.77","6298279","0","     0.00","     0.00","20-Nov-2020 11:30:30","249664","17205916","1.45"
"C & C Constructions Limited","25445265","8233162","    32.36","17212103","6460858","    78.47","    25.39","20-Nov-2020 11:30:22","7185194","25431186","28.25"
"CARE Ratings Limited","29461214","0","     0.00","29461214","0",,"     0.00","20-Nov-2020 11:30:29","1244588","29460913","4.22"
"CCL Products (India) Limited","133027920","61449342","    46.19","71578578","0","     0.00","     0.00","20-Nov-2020 11:30:17","1977361","132215997","1.5"
"CEAT Limited","40450092","18940298","    46.82","21509794","0","     0.00","     0.00","20-Nov-2020 11:30:24","450133","40027583","1.12"
"CESC Limited","132557043","66172209","    49.92","66384834","0","     0.00","     0.00","20-Nov-2020 11:30:11","1073231","131329962","0.82"
"CG Power and Industrial Solutions Limited","626746142","593308","     0.09","626152834","0","     0.00","     0.00","20-Nov-2020 11:30:11","30611042","623336619","4.91"
"CIL Nova Petrochemicals Limited","27100000","20192292","    74.51","6907708","4082450","    20.22","    15.06","20-Nov-2020 11:30:30","4963229","26643726","18.63"
"CMI Limited","15027457","6605995","    43.96","8421462","0","     0.00","     0.00","20-Nov-2020 11:30:31","416603","14711441","2.83"
"CRISIL Limited","72520485","48732586","    67.20","23787899","0","     0.00","     0.00","20-Nov-2020 11:30:03","2395537","72520218","3.3"
"Cadila Healthcare Limited","1023742600","766534434","    74.88","257208166","0","     0.00","     0.00","20-Nov-2020 11:30:14","3867802","1020943798","0.38"
"California Software Company Limited","15457106","5132972","    33.21","10324134","0","     0.00","     0.00","20-Nov-2020 11:30:15","161612","15358896","1.05"
"Cambridge Technology Enterprises Limited","19631015","9756937","    49.70","9874078",,,,"20-Nov-2020 11:30:22","693511","18976221","3.65"
"Camlin Fine Sciences Limited","121284746","27570456","    22.73","93714290","0","     0.00","     0.00","20-Nov-2020 11:30:30","7286919","119800536","6.08"
"Can Fin Homes Limited","133154125","39930365","    29.99","93223760","0","     0.00","     0.00","20-Nov-2020 11:30:08","10718006","131231410","8.17"
"Canara Bank","1453501506","1141709678","    78.55","311791828","0","     0.00","     0.00","20-Nov-2020 11:30:16","12113872","1446278805","0.84"
"Cantabil Retail India Limited","16327608","12119189","    74.23","4208419","0","     0.00","     0.00","20-Nov-2020 11:30:27","648950","16327293","3.97"
"Capacit'e Infraprojects Limited","67891497","29728846","    43.79","38162651","5000000","    16.82","     7.36","20-Nov-2020 11:30:31","6268437","67891490","9.23"
"Caplin Point Laboratories Limited","75642750","52214192","    69.03","23428558","0","     0.00","     0.00","20-Nov-2020 11:30:30","1332057","73295190","1.82"
"Capri Global Capital Limited","175134805","131242538","    74.94","43892267","0","     0.00","     0.00","20-Nov-2020 11:30:27","569131","175170895","0.32"
"Carborundum Universal Limited","189440878","79648245","    42.04","109792633","15000","     0.02","     0.01","20-Nov-2020 11:30:05","3295933","187368669","1.76"
"Career Point Limited","18162939","11559187","    63.64","6603752","0","     0.00","     0.00","20-Nov-2020 11:30:27","583905","18192938","3.21"
"Castex Technologies Limited","378122838","177182272","    46.86","200940566","118130241","    66.67","    31.24","20-Nov-2020 11:30:18","120302844","377238390","31.89"
"Castrol India Limited","989122384","504452416","    51.00","484669968","0","     0.00","     0.00","20-Nov-2020 11:30:30","14031843","979962128","1.43"
"Celebrity Fashions Limited","47768005","19976325","    41.82","27791680","13097987","    65.57","    27.42","20-Nov-2020 11:30:19","14593050","47767840","30.55"
"Celestial Biolabs Limited","22586350","5888963","    26.07","16697387","0","     0.00","     0.00","20-Nov-2020 11:30:23","223538","20205139","1.11"
"Central Bank of India","5875562460","5275014715","    89.78","600547745","0","     0.00","     0.00","20-Nov-2020 11:30:23","20386207","5875435695","0.35"
"Centrum Capital Limited","416032740","178177812","    42.83","237854928","78259180","    43.92","    18.81","20-Nov-2020 11:30:31","125068235","414406580","30.18"
"Centum Electronics Limited","12884781","7576478","    58.80","5308303","0","     0.00","     0.00","20-Nov-2020 11:30:23","208174","12775461","1.63"
"Century Enka Limited","21850589","5418048","    24.80","16432541",,,,"20-Nov-2020 11:30:05","1125476","20116374","5.59"
"Century Extrusions Limited","80000000","41628649","    52.04","38371351","0","     0.00","     0.00","20-Nov-2020 11:30:17","847906","79238743","1.07"
"Century Plyboards (India) Limited","222172990","162291858","    73.05","59881132","0","     0.00","     0.00","20-Nov-2020 11:30:20","1683295","221728774","0.76"
"Century Textiles & Industries Limited","111695680","56077970","    50.21","55617710","0","     0.00","     0.00","20-Nov-2020 11:30:05","5614686","110227050","5.09"
"Cera Sanitaryware Limited","13005874","7085139","    54.48","5920735","0","     0.00","     0.00","20-Nov-2020 11:30:24","80131","12808588","0.63"
"Cerebra Integrated Technologies Limited","121186482","8603219","     7.10","112583263","0","     0.00","     0.00","20-Nov-2020 11:30:29","9612691","114021168","8.43"
"Chalet Hotels Limited","205023864","146411299","    71.41","58612565","47023720","    32.12","    22.94","20-Nov-2020 11:30:31","47692220","205023864","23.26"
"Chambal Fertilizers & Chemicals Limited","416207852","251867165","    60.51","164340687","54330663","    21.57","    13.05","20-Nov-2020 11:30:05","53884740","401521839","13.42"
"Chennai Petroleum Corporation Limited","148911400","100198100","    67.29","48713300","0","     0.00","     0.00","20-Nov-2020 11:30:15","4035307","147808566","2.73"
"Cholamandalam Financial Holdings Limited","187717982","91613929","    48.80","96104053","33200","     0.04","     0.02","20-Nov-2020 11:30:31","2087094","186599271","1.12"
"Cholamandalam Investment and Finance Company Limited","819647359","423301594","    51.64","396345765","0","     0.00","     0.00","20-Nov-2020 11:30:10","2358461","818594109","0.29"
"Chromatic India Limited","71046100","9173305","    12.91","61872795","0","     0.00","     0.00","20-Nov-2020 11:30:29","829860","70790005","1.17"
"Cigniti Technologies Limited","27857509","10430572","    37.44","17426937","0","     0.00","     0.00","20-Nov-2020 11:30:30","3042964","27824129","10.94"
"Cineline India Limited","28000000","19680916","    70.29","8319084","0","     0.00","     0.00","20-Nov-2020 11:30:29","316926","27999848","1.13"
"Cinevista Limited","57436475","38830177","    67.61","18606298","0","     0.00","     0.00","20-Nov-2020 11:30:14","238076","56413920","0.42"
"Cipla Limited","806337456","296658866","    36.79","509678590","0","     0.00","     0.00","20-Nov-2020 11:30:08","6846364","797116877","0.86"
"City Union Bank Limited","738401079","0","     0.00","738401079","0",,"     0.00","20-Nov-2020 11:30:13","8423558","722184735","1.17"
"Clariant Chemicals (India) Limited","23081798","11772050","    51.00","11309748","0","     0.00","     0.00","20-Nov-2020 11:30:11","1002216","22703400","4.41"
"Coal India Limited","6162728327","4075634553","    66.13","2087093774","0","     0.00","     0.00","20-Nov-2020 11:30:27","29761777","6162724034","0.48"
"Coffee Day Enterprises Limited","211251719","32163416","    15.23","179088303","16901596","    52.55","     8.00","20-Nov-2020 11:30:30","16644539","211251637","7.88"
"Coforge Limited","60575569","42571260","    70.28","18004309","0","     0.00","     0.00","20-Nov-2020 11:30:17","331608","60424462","0.55"
"Colgate Palmolive (India) Limited","271985634","138712672","    51.00","133272962","0","     0.00","     0.00","20-Nov-2020 11:30:24","2287858","267372082","0.86"
"Commercial Engineers & Body Builders Co Limited","89482657","54267871","    60.65","35214786","45636155","    84.09","    51.00","20-Nov-2020 11:30:27","1151403","89482254","1.29"
"Compucom Software Limited","79125188","58737336","    74.23","20387852","0","     0.00","     0.00","20-Nov-2020 11:30:29","399377","78707348","0.51"
"Confidence Petroleum India Limited","273835000","148310365","    54.16","125524635","1875000","     1.26","     0.68","20-Nov-2020 11:30:31","19780899","265011333","7.46"
"Consolidated Construction Consortium Limited","398511188","61828103","    15.51","336683085","47113476","    76.20","    11.82","20-Nov-2020 11:30:24","49071895","398161532","12.32"
"Consolidated Finvest & Holdings Limited","32326366","23124764","    71.54","9201602",,,,"20-Nov-2020 11:30:18","154602","32007547","0.48"
"Container Corporation Of India Limited","609294348","333884975","    54.80","275409373","0","     0.00","     0.00","20-Nov-2020 11:30:13","2002733","609292976","0.33"
"Coral India Finance & Housing Limited","40302225","32093840","    79.63","8208385","0","     0.00","     0.00","20-Nov-2020 11:30:12","474294","38883325","1.22"
"Cords Cable Industries Limited","12927780","6675543","    51.64","6252237","0","     0.00","     0.00","20-Nov-2020 11:30:24","485954","12925839","3.76"
"Coromandel International Limited","293208349","174707004","    59.58","118501345","22000","     0.01","     0.01","20-Nov-2020 11:30:05","1294975","286619041","0.45"
"Cosmo Films Limited","19440076","9028528","    46.44","10411548","0","     0.00","     0.00","20-Nov-2020 11:30:08","892300","19079239","4.68"
"Country Condo's Limited","77597300","41946222","    54.06","35651078","0","     0.00","     0.00","20-Nov-2020 11:30:25","429441","70753296","0.61"
"Cox & Kings Financial Service Limited","72854454","37676844","    51.72","35177610","12615400","    33.48","    17.32","20-Nov-2020 11:30:31","13694951","72852020","18.8"
"Cox & Kings Limited","176564890","21534004","    12.20","155030886","0","     0.00","     0.00","20-Nov-2020 11:30:14","6264943","176563674","3.55"
"Creative Eye Limited","20058250","11284732","    56.26","8773518","0","     0.00","     0.00","20-Nov-2020 11:30:15","156746","19925373","0.79"
"Crest Ventures Limited","28449775","18523641","    65.11","9926134","0","     0.00","     0.00","20-Nov-2020 11:30:12","141607","28404397","0.5"
"Crompton Greaves Consumer Electricals Limited","627333935","164302579","    26.19","463031356","107741623","    65.58","    17.17","20-Nov-2020 11:30:30","75366101","623578798","12.09"
"Cubex Tubings Limited","14318975","6360304","    44.42","7958671","0","     0.00","     0.00","20-Nov-2020 11:30:12","59988","13672194","0.44"
"Cummins India Limited","277200000","141372683","    51.00","135827317","0","     0.00","     0.00","20-Nov-2020 11:30:03","1271728","274875143","0.46"
"Cura Technologies Limited","9555000","2966784","    31.05","6588216","2086364","    70.32","    21.84","20-Nov-2020 11:30:15","2391033","9517553","25.12"
"Cyber Media (India) Limited","12867242","6880135","    53.47","5987107","2500000","    36.34","    19.43","20-Nov-2020 11:30:18","3402366","12655366","26.88"
"Cybertech Systems And Software Limited","27543593","10357929","    37.61","17185664","0","     0.00","     0.00","20-Nov-2020 11:30:14","261775","22977669","1.14"
"Cyient Limited","109971221","25818588","    23.48","84152633","0","     0.00","     0.00","20-Nov-2020 11:30:14","1149626","109342416","1.05"
"D B Realty Limited","243258782","153044338","    62.91","90214444","108409641","    70.84","    44.57","20-Nov-2020 11:30:26","113303027","243258281","46.58"
